推,噓,分數,作者,標題,時間
11,3,8,lianpig5566 (家庭教師殺手里包恩),[問卦] 大學打工是為了經驗還是零用錢,Sun Aug 23 02:24:58 2020
0,0,0,join183club (183club),Re,Sun Aug 23 08:46:14 2020
8,3,5,xxxd851130 (宇智波警備隊隊長),[問卦] 如果剛入伍第一天就都不講話,Sun Aug 23 00:52:29 2020
19,0,19,Ifault (Not my fault),[問卦] 華人最推崇或最惋惜的失敗者是誰？,Sun Aug 23 01:55:29 2020
2,3,-1,youarenotgay (你並不快樂),[問卦] 大家都有看過室友的屁眼毛嗎？,Sun Aug 23 00:46:10 2020
3,2,1,kt40 (零分朋友),[問卦] 中國lol女主播到底在講三小,Sun Aug 23 00:39:57 2020
8,0,8,muse87131 (),[新聞] 新冠病毒疫情永遠不會消失,Sun Aug 23 07:22:38 2020
5,0,5,Ifault (Not my fault),[問卦] 惠比壽麝香葡萄 很冷門嗎？,Sun Aug 23 05:15:29 2020
14,32,-18,z770808 (),[新聞] 民眾嗆問兩岸問題 馬英九：常說謊的人未,Sun Aug 23 08:32:21 2020
0,3,-3,Nigger5566 (尼哥56),[問卦] nmsmusic是什麼板,Sun Aug 23 01:34:31 2020
6,5,1,peterpan0228 (haveapen),[問卦] 有沒有牙套妹的八卦,Sun Aug 23 02:37:12 2020
18,0,18,sam09 (柊鏡),Re,Sun Aug 23 02:45:06 2020
4,4,0,a111111 ( ),Re,Sun Aug 23 00:53:12 2020
3,2,1,eachen (易陳),[問卦] 臭豆腐用烤用炸用煮那種好吃,Sun Aug 23 00:51:21 2020
9,7,2,KasmirLo (科科科~),[問卦] 看火刑心理素質要多高,Sun Aug 23 01:17:09 2020
0,0,0,homerun2005 (阿里山下智久),Re,Sun Aug 23 08:50:26 2020
1,0,1,CORSA (重型爬行獸),Re,Sun Aug 23 00:16:07 2020
7,8,-1,a6000200 (aa),[問卦] 擔誤女生vs單身,Sun Aug 23 02:06:38 2020
2,3,-1,FL5566 (小魯妹),Re,Sun Aug 23 00:05:07 2020
5,2,3,ms0286415 (ms0286415),[問卦] 是不是幾乎的人都是這樣啊??,Sun Aug 23 00:13:14 2020
4,8,-4,santan (光與灰燼),[新聞] 小鮮肉澎湖裸身激戰 刺痛感像極愛情,Sun Aug 23 02:35:24 2020
1,1,0,Lineage097 (狐狸壽司),Re,Sun Aug 23 00:08:23 2020
119,30,89,yuahang (橘花貓),[新聞] 德國首席病毒學家建議終止機場的新冠檢測,Sun Aug 23 05:21:51 2020
34,10,24,LoveMakeLove (ボケ),[新聞]劉寶傑捅到馬蜂窩 館長死咬：要戰大家來戰,Sun Aug 23 07:37:33 2020
9,6,3,j9966330k (白玉樓的廁所),[問卦] 這裡有人會對對子嗎（在線急,Sun Aug 23 01:49:22 2020
15,1,14,Triceratops (Jurassic),[新聞] 美國警察手抬3000磅轎車 救出被壓男子,Sun Aug 23 00:18:54 2020
14,1,13,seand8088503 (あいうえお),[問卦] 在蝦皮評論區露鳥的都是哪種人啊？！,Sun Aug 23 01:32:41 2020
1,3,-2,ga86041 (ga86041),Re,Sun Aug 23 04:43:38 2020
1,1,0,mystage (亭),Re,Sun Aug 23 07:24:41 2020
6,0,6,bota (llll),[問卦] 波蘭翼騎兵存在的時間不如武田赤備?,Sun Aug 23 01:44:07 2020
4,9,-5,hiimlove (樂樂),[問卦] 新品種約克洋？,Sun Aug 23 02:09:13 2020
2,16,-14,tsaiss (Samkh),[問卦] 早上七點搭高鐵現在睡不著怎麼辦？,Sun Aug 23 03:43:27 2020
3,5,-2,Rimi5566 (布口以欺付里美),[爆卦] 林書豪葛葛今天生日,Sun Aug 23 00:08:20 2020
31,0,31,ea000382 (肥宅),[問卦] 被汽車撞  求償多少算合理,Sun Aug 23 00:22:31 2020
4,3,1,ayaneoshi (小坂菜緒は俺の嫁),[問卦] 日向坂46新的演出服很好看！？,Sun Aug 23 02:32:39 2020
2,0,2,Kulapica (酷拉皮卡),Re,Sun Aug 23 08:16:12 2020
71,23,48,LIN9 (LIN9),[新聞] 劉樂妍找台灣人去中國工作 待遇曝光被狂,Sun Aug 23 07:20:03 2020
4,2,2,martin110287 (廢文權威),[新聞],Sun Aug 23 00:21:42 2020
8,1,7,cowardlyman (有功夫無懦夫),[問卦] 龜仙人這麼好色，怎麼一個後代都沒有？,Sun Aug 23 03:34:41 2020
14,6,8,bota (llll),[問卦] 我們中國古代怎麼沒有發展出長槍陣?,Sun Aug 23 02:01:52 2020
3,0,3,deepdish (Keep The Faith),[問卦] 有沒有Slacktivism 懶人行動主義的八卦？,Sun Aug 23 00:52:18 2020
3,0,3,aher2600 (和),Re,Sun Aug 23 06:42:15 2020
5,2,3,pennyleo (今朝有酒今朝醉),[問卦] 有沒有超級性冷感的八卦,Sun Aug 23 07:59:55 2020
2,4,-2,Ninja650r (忍者),[問卦] 房東的水電費其實都是房客在繳？,Sun Aug 23 01:32:45 2020
8,6,2,ainor (><),Re,Sun Aug 23 00:08:22 2020
3,0,3,ck5 (逆時針),Re,Sun Aug 23 00:57:22 2020
5,8,-3,humorchou (月亮不睡我不睡),[問卦] 急！被困在陽台怎麼辦,Sun Aug 23 04:11:30 2020
3,3,0,devidevi (凱特),Re,Sun Aug 23 00:03:15 2020
7,7,0,ht91008 (色情狂),Re,Sun Aug 23 03:20:09 2020
1,0,1,gerychen (邪惡肥宅),[問卦] 沿著氣味一路追逐？,Sun Aug 23 00:07:59 2020
3,0,3,rfvujm (Rfvujm),Re,Sun Aug 23 07:44:07 2020
6,4,2,andycheng60 (andycheng),Re,Sun Aug 23 01:20:29 2020
8,3,5,huabandd (我是阿肥巴你頭),Re,Sun Aug 23 03:35:53 2020
0,1,-1,fuccwoman (帥的亂七八槽),Re,Sun Aug 23 00:33:53 2020
0,0,0,ECZEMA (ID 亂取的啦!),[爆卦] 美國抖音 告 川普政府,Sun Aug 23 08:56:51 2020
12,5,7,whiteadam (blue eyes blue),[問卦] 什麼樣的人會打因該?,Sun Aug 23 02:10:55 2020
0,1,-1,q9154336 (SSB),[問卦] 聖水理容院的,Sun Aug 23 01:03:42 2020
11,6,5,L1ON (我是獅子~(ﾉﾟ▽ﾟ)ﾉ♪),[問卦] 黑人強暴犯都怎樣過生日？,Sun Aug 23 05:23:40 2020
2,0,2,Cyborg (廢問只能一篇),Re,Sun Aug 23 03:48:03 2020
20,6,14,jis0077 (一個人的輕旅行),[新聞] 殘忍狙殺海盜影片瘋傳 大陸籍船長入高雄,Sun Aug 23 00:14:09 2020
5,5,0,paulabxz123 (優文大師),[問卦] 涕涕剃光頭,Sun Aug 23 00:51:18 2020
0,4,-4,z0953781935 (妹妹罵我是肥豬>///<),[問卦] 一夫一妻制是不是造成很多悲劇？,Sun Aug 23 00:05:02 2020
